Name	Coefficient	Coefficient_std_error	Coefficient_P_value
mousebrain-zeisel2018__HBSER5	0.28432933906670044	0.06023494274452771	1.188327226477137e-06
mousebrain-zeisel2018__HBSER2	0.27428784269810197	0.058342183215566966	1.3041060111850545e-06
mousebrain-zeisel2018__HBGLU2	0.2287836244960345	0.054406806186848206	1.3129677676831881e-05
mousebrain-zeisel2018__HBCHO3	0.23055384074685759	0.05514892034236874	1.4624863588789663e-05
mousebrain-zeisel2018__MEGLU14	0.290579044600468	0.07083390984335951	2.0569140667922357e-05
mousebrain-zeisel2018__HBSER4	0.22252857552946534	0.05674528260506262	4.419709325805854e-05
mousebrain-zeisel2018__HBSER1	0.230051677374371	0.061891104796288225	0.00010116666978342629
mousebrain-zeisel2018__HBINH2	0.23927113352939042	0.06650089247541066	0.00016086489453533362
mousebrain-zeisel2018__HBINH4	0.24207159980231815	0.06734739636534605	0.00016312957668952047
mousebrain-zeisel2018__HBSER3	0.23038761590836482	0.0645445672671769	0.00017945731130378367
mousebrain-zeisel2018__HBINH6	0.21241526444202652	0.06030924668708547	0.0002147319797262641
mousebrain-zeisel2018__MEINH3	0.1986324633749206	0.05818088788831061	0.00032090460438202566
mousebrain-zeisel2018__HBCHO4	0.2093514522808355	0.06407762547094094	0.0005444428799934448
mousebrain-zeisel2018__DECHO1	0.17877788785640497	0.05705795560170645	0.0008660878007809476
mousebrain-zeisel2018__DEGLU1	0.13698006575442276	0.04571450007222374	0.0013681504793433097
mousebrain-zeisel2018__PSNP5	0.15539760417534298	0.0530609513519789	0.0017047839239924532
mousebrain-zeisel2018__ENT8	0.16655724230695923	0.05731536925979081	0.001833316216141745
mousebrain-zeisel2018__HBINH5	0.1438057577734529	0.04976068323654046	0.0019294035017321754
mousebrain-zeisel2018__HBCHO2	0.18585905925607626	0.06433845802505378	0.0019366328914065985
mousebrain-zeisel2018__HBGLU3	0.18122168122337934	0.06325428598425677	0.0020882509900402137
mousebrain-zeisel2018__MEINH13	0.19087347697869328	0.06740690853806001	0.002318555862377335
mousebrain-zeisel2018__MOL1	0.14227306718748559	0.05036170928732223	0.0023670950414283846
mousebrain-zeisel2018__MFOL1	0.12140176816568458	0.04357533494773122	0.0026714603134666455
mousebrain-zeisel2018__DEGLU3	0.12362378628414888	0.04872467165392424	0.005592524248796719
mousebrain-zeisel2018__MEGLU2	0.14625117330716744	0.05825604136187451	0.006033624265892694
mousebrain-zeisel2018__MEGLU3	0.17723687060576937	0.07145668185058707	0.006568518211810341
mousebrain-zeisel2018__MOL2	0.11843459890624175	0.04781336886537056	0.006629939365091254
mousebrain-zeisel2018__DEGLU2	0.13110552663392458	0.053227809530810674	0.006892832230150896
mousebrain-zeisel2018__TEINH11	0.12001391676962148	0.0503884196241432	0.008621137925760409
mousebrain-zeisel2018__TEINH12	0.12910742579499718	0.05429505750013646	0.008712594331164503
mousebrain-zeisel2018__MBDOP2	0.1655566240685194	0.06969223276179394	0.008768163337077377
mousebrain-zeisel2018__TEGLU8	0.10890124731681901	0.04596172372329777	0.008915272840178397
mousebrain-zeisel2018__MFOL2	0.10724687253163587	0.04565064069834859	0.009411178128970922
mousebrain-zeisel2018__TEINH3	0.16789521279388372	0.07147209694659158	0.009416095682834984
mousebrain-zeisel2018__HBGLU9	0.13044225914099675	0.055538104949994505	0.009426291229743013
mousebrain-zeisel2018__TEINH1	0.13905855997954097	0.059550849684017054	0.00977531887907743
mousebrain-zeisel2018__TEGLU10	0.1114526981025378	0.04787553464328953	0.00996378860081154
mousebrain-zeisel2018__ENT9	0.11212506223072681	0.04862760655467285	0.010568234903215687
mousebrain-zeisel2018__DEINH3	0.12986853734040776	0.05634897041250017	0.010598227281893585
mousebrain-zeisel2018__TEGLU15	0.12026813285467088	0.05249704505034468	0.010990315096768231
mousebrain-zeisel2018__TEGLU5	0.12679020330030316	0.055863077380476	0.011621452447822785
mousebrain-zeisel2018__TECHO	0.1481124921579369	0.0672441448765516	0.01381907528795844
mousebrain-zeisel2018__MEGLU6	0.12614256066499382	0.05772984499016783	0.014450632004220481
mousebrain-zeisel2018__SYCHO2	0.12958246803660756	0.05944910839565041	0.014647135163473834
mousebrain-zeisel2018__HBGLU6	0.10824120593747269	0.049826889634752076	0.014922933064756288
mousebrain-zeisel2018__PSNP3	0.10442422801465145	0.048302901375651686	0.01532258795047274
mousebrain-zeisel2018__MOL3	0.09927091268891794	0.04627573289524507	0.01597657268443189
mousebrain-zeisel2018__TEGLU9	0.12236229458941512	0.05710831169841236	0.016079534256116152
mousebrain-zeisel2018__DEGLU4	0.13052047774724515	0.0631417044907398	0.01937107210472081
mousebrain-zeisel2018__SCINH3	0.16020150650390821	0.07773423341724395	0.019665833551400794
mousebrain-zeisel2018__PSNP2	0.11420338532609858	0.05542385706834281	0.01968215196468285
mousebrain-zeisel2018__DEGLU5	0.12483656916510188	0.06059203141988399	0.019694824330611906
mousebrain-zeisel2018__HYPEP3	0.14567815030286987	0.07161577914435434	0.02097672481978782
mousebrain-zeisel2018__TEGLU4	0.09514439034641863	0.047052931318999514	0.021593696723420434
mousebrain-zeisel2018__HBGLU1	0.12604133334093628	0.06262501187151132	0.022085761196043725
mousebrain-zeisel2018__HBGLU8	0.1349063756766491	0.06732902070795174	0.022561061712276224
mousebrain-zeisel2018__NFOL1	0.08853406361994104	0.04582259805680158	0.02668306444839288
mousebrain-zeisel2018__MBDOP1	0.14723430718969627	0.0768717915930337	0.027735542449054754
mousebrain-zeisel2018__PSPEP6	0.12235592919241568	0.06609471249490072	0.03207908749139749
mousebrain-zeisel2018__SYCHO1	0.12911854490010255	0.06983128513943207	0.03223861632486326
mousebrain-zeisel2018__PSNF2	0.1084273344827587	0.05961948397463706	0.034492326832970696
mousebrain-zeisel2018__DEINH2	0.11681551174668134	0.06441249644817078	0.034883631130683455
mousebrain-zeisel2018__HBADR	0.1200276070631579	0.0662931787610724	0.03511509439256598
mousebrain-zeisel2018__PSPEP3	0.09838983442707575	0.054944930358974416	0.036681284145705484
mousebrain-zeisel2018__SYNOR4	0.09560280783312534	0.05341115329563069	0.036742192156827086
