Name	Coefficient	Coefficient_std_error	Coefficient_P_value
mousebrain-zeisel2018__TEGLU10	0.5176640843309683	0.06678979219499617	4.875888741849092e-15
mousebrain-zeisel2018__TEGLU2	0.5414203827459956	0.07457145084041211	2.0281251098437586e-13
mousebrain-zeisel2018__TEGLU4	0.4605184124375577	0.06565167070348703	1.2046628773698911e-12
mousebrain-zeisel2018__TEGLU18	0.4882610004832454	0.0697884826942018	1.3720308762018319e-12
mousebrain-zeisel2018__TEGLU24	0.4412725839880647	0.06495081002632941	5.6691654067510494e-12
mousebrain-zeisel2018__TEGLU11	0.43367063807848455	0.06574541986939009	2.182537597729301e-11
mousebrain-zeisel2018__TEGLU9	0.5248788334743663	0.07969369960675651	2.3342890320138082e-11
mousebrain-zeisel2018__TEGLU8	0.4181413800966337	0.06414778003188354	3.671064067724571e-11
mousebrain-zeisel2018__TEINH20	0.5396254084819191	0.08403580706658179	6.964085351283174e-11
mousebrain-zeisel2018__TEGLU20	0.5361706778506428	0.08504655880771508	1.4883587510521384e-10
mousebrain-zeisel2018__TEGLU21	0.5149832375307778	0.08169056249247625	1.4918550878464675e-10
mousebrain-zeisel2018__TEGLU13	0.47947249971079403	0.07749834014300862	3.1514397059885675e-10
mousebrain-zeisel2018__TEGLU3	0.42418253137935935	0.06865461252341878	3.322727825455146e-10
mousebrain-zeisel2018__TEINH15	0.44236757403282717	0.07212141344723705	4.4065028162276787e-10
mousebrain-zeisel2018__DEGLU1	0.3859239402419403	0.06382392652330422	7.574937806005352e-10
mousebrain-zeisel2018__TEINH11	0.4242906961513541	0.07033855452353684	8.289096188932997e-10
mousebrain-zeisel2018__TEINH12	0.44876171333617537	0.07579569586692535	1.6395697603471314e-09
mousebrain-zeisel2018__TEINH16	0.435723680790584	0.07399656802843158	1.9927894905417215e-09
mousebrain-zeisel2018__TEINH13	0.4733869689164068	0.08101075326504845	2.6108451016579334e-09
mousebrain-zeisel2018__TEGLU7	0.36510252681774136	0.06377090216398373	5.267901358303834e-09
mousebrain-zeisel2018__MEGLU6	0.4566916541879893	0.08059735781458861	7.433812502342141e-09
mousebrain-zeisel2018__MSN1	0.36409748033114286	0.06482946689855264	9.938587593891597e-09
