gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3,mousebrain-zeisel2018,TEGLU10,0.5176640843309683,0.0667897921949961,4.875888741849092e-15
SCZ_PGC3,mousebrain-zeisel2018,TEGLU2,0.5414203827459956,0.0745714508404121,2.0281251098437586e-13
SCZ_PGC3,mousebrain-zeisel2018,TEGLU4,0.4605184124375577,0.065651670703487,1.2046628773698913e-12
SCZ_PGC3,mousebrain-zeisel2018,TEGLU18,0.4882610004832454,0.0697884826942018,1.372030876201832e-12
SCZ_PGC3,mousebrain-zeisel2018,TEGLU24,0.4412725839880647,0.0649508100263294,5.6691654067510494e-12
SCZ_PGC3,mousebrain-zeisel2018,TEGLU11,0.4336706380784845,0.06574541986939,2.182537597729301e-11
SCZ_PGC3,mousebrain-zeisel2018,TEGLU9,0.5248788334743663,0.0796936996067565,2.334289032013808e-11
SCZ_PGC3,mousebrain-zeisel2018,TEGLU8,0.4181413800966337,0.0641477800318835,3.671064067724571e-11
SCZ_PGC3,mousebrain-zeisel2018,TEINH20,0.5396254084819191,0.0840358070665817,6.964085351283174e-11
SCZ_PGC3,mousebrain-zeisel2018,TEGLU20,0.5361706778506428,0.085046558807715,1.4883587510521384e-10
SCZ_PGC3,mousebrain-zeisel2018,TEGLU21,0.5149832375307778,0.0816905624924762,1.4918550878464675e-10
SCZ_PGC3,mousebrain-zeisel2018,TEGLU13,0.479472499710794,0.0774983401430086,3.1514397059885675e-10
SCZ_PGC3,mousebrain-zeisel2018,TEGLU3,0.4241825313793593,0.0686546125234187,3.3227278254551455e-10
SCZ_PGC3,mousebrain-zeisel2018,TEINH15,0.4423675740328271,0.072121413447237,4.406502816227679e-10
SCZ_PGC3,mousebrain-zeisel2018,DEGLU1,0.3859239402419403,0.0638239265233042,7.574937806005351e-10
SCZ_PGC3,mousebrain-zeisel2018,TEINH11,0.4242906961513541,0.0703385545235368,8.289096188932996e-10
SCZ_PGC3,mousebrain-zeisel2018,TEINH12,0.4487617133361753,0.0757956958669253,1.6395697603471312e-09
SCZ_PGC3,mousebrain-zeisel2018,TEINH16,0.435723680790584,0.0739965680284315,1.992789490541721e-09
SCZ_PGC3,mousebrain-zeisel2018,TEINH13,0.4733869689164068,0.0810107532650484,2.610845101657933e-09
SCZ_PGC3,mousebrain-zeisel2018,TEGLU7,0.3651025268177413,0.0637709021639837,5.267901358303834e-09
