# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000187634    1     760260     979955      3       1  153710     -0.59163    -7.927e-14     -0.59163
ENSG00000268179    1     761264     966445      3       1  153710     -0.59163    -7.927e-14     -0.59163
ENSG00000188976    1     779584     994689      4       1  154589      -1.1637    -7.927e-14      -1.1637
ENSG00000187961    1     795967    1001095      4       1  154589      -1.1637    -7.927e-14      -1.1637
ENSG00000187583    1     801877    1011245      4       1  154589      -1.1637    -7.927e-14      -1.1637
ENSG00000187642    1     810579    1017497      4       1  154589      -1.1637    -7.927e-14      -1.1637
ENSG00000188290    1     834342    1035552      7       2  154619      -1.9554    -7.927e-14      -1.9554
ENSG00000187608    1     848803    1049920     10       3  154632      -1.4952    -7.927e-14      -1.4952
ENSG00000188157    1     855503    1091496     14       3  154640      -1.4188    -7.927e-14      -1.4188
ENSG00000237330    1     906346    1109687     14       3  154640      -1.4188    -7.927e-14      -1.4188
ENSG00000131591    1     917198    1151741     15       3  155067     -0.87298    -7.927e-14     -0.87298
ENSG00000162571    1    1009264    1233315     29       6  158629        2.298   -7.9048e-14        2.298
ENSG00000186891    1    1038888    1242071     26       6  159087       2.5219   -7.9048e-14       2.5219
ENSG00000186827    1    1046706    1249518     24       6  159456       2.6081   -7.9048e-14       2.6081
ENSG00000078808    1    1052288    1267411     26       6  158780        2.682   -7.9048e-14        2.682
ENSG00000176022    1    1067629    1270421     24       5  159390       2.7529   -7.9048e-14       2.7529
ENSG00000184163    1    1077826    1282102     24       5  159390       2.7529   -7.9048e-14       2.7529
ENSG00000160087    1    1089289    1309265     31       6  159311       2.5437   -7.9048e-14       2.5437
ENSG00000162572    1    1115816    1327409     35       7  159373       2.3077   -7.9048e-14       2.3077
ENSG00000131584    1    1127756    1344989     37       7  159335       2.1993   -7.9048e-14       2.1993
ENSG00000169972    1    1143947    1347057     36       7  159287       2.1687   -7.9048e-14       2.1687
ENSG00000127054    1    1146965    1360071     36       7  159287       2.1687   -7.9048e-14       2.1687
ENSG00000224051    1    1160136    1364277     34       6  159183       2.0399   -7.9048e-14       2.0399
ENSG00000169962    1    1166694    1370686     30       5  159145       1.8264    -7.927e-14       1.8264
ENSG00000107404    1    1170656    1384730     30       5  159145       1.8264    -7.927e-14       1.8264
ENSG00000162576    1    1188069    1397157     24       4  158669      0.89769    -7.927e-14      0.89769
ENSG00000175756    1    1209110    1410875     23       4  158565      0.85599    -7.927e-14      0.85599
ENSG00000221978    1    1221091    1434708     18       2  157875      0.50171    -7.927e-14      0.50171
ENSG00000224870    1    1234902    1437426     18       2  157875      0.50171    -7.927e-14      0.50171
ENSG00000242485    1    1237288    1442693     18       2  157875      0.50171    -7.927e-14      0.50171
ENSG00000235098    1    1253800    1457149     18       2  159749      0.75714    -7.927e-14      0.75714
ENSG00000205116    1    1261508    1463167     16       3  159609      0.90489    -7.927e-14      0.90489
ENSG00000179403    1    1270241    1478262     22       4  160088       1.3372    -7.927e-14       1.3372
ENSG00000215915    1    1285069    1505538     31       5  160471         1.16    -7.927e-14         1.16
ENSG00000160072    1    1307143    1533228     26       4  160729       1.1713    -7.927e-14       1.1713
ENSG00000197785    1    1347531    1570067     19       2  161366       1.2148    -7.927e-14       1.2148
ENSG00000205090    1    1370554    1575833     19       2  161366       1.2148    -7.927e-14       1.2148
ENSG00000160075    1    1377053    1610249     19       2  161366       1.2148    -7.927e-14       1.2148
ENSG00000215014    1    1410355    1611373     19       2  161366       1.2148    -7.927e-14       1.2148
ENSG00000228594    1    1433392    1635476     19       2  161366       1.2148    -7.927e-14       1.2148
ENSG00000197530    1    1450795    1665990     21       3  161370       1.2645    -7.927e-14       1.2645
ENSG00000189409    1    1467474    1670639     17       2  161388      0.77374    -7.927e-14      0.77374
ENSG00000248333    1    1470603    1690473     22       4  161405      0.61549    -7.927e-14      0.61549
ENSG00000189339    1    1492939    1724167     27       5  161405      0.98489    -7.927e-14      0.98489
ENSG00000008128    1    1534169    1755766     25       4  161405       1.1607    -7.927e-14       1.1607
ENSG00000215790    1    1556277    1777431     32       5  161405      0.92362    -7.927e-14      0.92362
ENSG00000008130    1    1582671    1811896     44       6  161405       1.1493    -7.927e-14       1.1493
ENSG00000078369    1    1616729    1922495     75       8  161405       1.4353    -7.927e-14       1.4353
ENSG00000169885    1    1746266    1948735     53       7  161405       1.6792    -7.927e-14       1.6792
ENSG00000178821    1    1749029    1950712     51       7  161405       1.6495    -7.927e-14       1.6495
ENSG00000142609    1    1753396    2035276     63      10  161377       1.5745    -7.927e-14       1.5745
ENSG00000187730    1    1850780    2062192     49      10  161268       2.1324   -7.9048e-14       2.1324
ENSG00000067606    1    1881909    2216834     81       9  161173       1.9337    -7.927e-14       1.9337
ENSG00000162585    1    2015903    2244159     87      11  161202       1.8665    -7.927e-14       1.8665
ENSG00000269554    1    2021237    2223179     76       8  161177       1.9382    -7.927e-14       1.9382
ENSG00000203301    1    2043360    2245620     66       9  161190       2.0659   -7.9048e-14       2.0659
ENSG00000157933    1    2060134    2341558    111      23  160978       1.8285    -7.927e-14       1.8285
ENSG00000116151    1    2152692    2423146     81      24  160973    -0.016693   -7.9253e-14    -0.016693
ENSG00000269753    1    2158581    2359042     74      22  160933     -0.30891    -7.927e-14     -0.30891
ENSG00000157916    1    2223267    2436883     69      21  160903     -0.57895    -7.927e-14     -0.57895
ENSG00000157911    1    2236236    2445236     68      20  160896     -0.20318   -7.9242e-14     -0.20318
ENSG00000149527    1    2257419    2536969    105      22  160571      0.88764    -7.927e-14      0.88764
ENSG00000157881    1    2339972    2558039     66       8  160603       1.2147    -7.927e-14       1.2147
ENSG00000197921    1    2360184    2561684     66       8  160603       1.2147    -7.927e-14       1.2147
ENSG00000157873    1    2387078    2596821     67       8  160615       1.2211    -7.927e-14       1.2211
ENSG00000157870    1    2417930    2622908     64       7  160578       1.1953    -7.927e-14       1.1953
ENSG00000142606    1    2422078    2664481     61       7  160537        1.179    -7.927e-14        1.179
ENSG00000215912    1    2467415    2818286     59       6  160514      0.99204    -7.927e-14      0.99204
ENSG00000169717    1    2838046    3039465     68      13  161196      -1.0037    -7.927e-14      -1.0037
ENSG00000142611    1    2885732    3455185    196      51  159825      0.60089    -7.927e-14      0.60089
