GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000269831    1     638532     839137      6       2  373222     0.010186      0.49594
ENSG00000269308    1     718043     919983     28      10  427598      0.13816      0.44506
ENSG00000187634    1     760260     979955     42      14  434720      0.61337      0.26982
ENSG00000268179    1     761264     966445     41      13  435729      0.60467       0.2727
ENSG00000188976    1     779584     994689     45      14  440690      0.59597       0.2756
ENSG00000187961    1     795967    1001095     45      14  443123      0.59804      0.27491
ENSG00000187583    1     801877    1011245     47      14  444808      0.52655      0.29925
ENSG00000187642    1     810579    1017497     48      14  445598       0.4857      0.31359
ENSG00000188290    1     834342    1035552     57      16  446773      0.56132      0.28729
ENSG00000187608    1     848803    1049920     59      17  449601      0.50099      0.30819
ENSG00000188157    1     855503    1091496     70      19  451964       0.4837       0.3143
ENSG00000237330    1     906346    1109687     58      15  448016      0.63698      0.26207
ENSG00000131591    1     917198    1151741     74      22  451489      0.19658      0.42208
ENSG00000162571    1    1009264    1233315     81      22  463618     -0.35337       0.6381
ENSG00000186891    1    1038888    1242071     76      20  465876     -0.64581       0.7408
ENSG00000186827    1    1046706    1249518     75      19  467038     -0.75449      0.77472
ENSG00000078808    1    1052288    1267411     77      19  467513     -0.88583      0.81215
ENSG00000176022    1    1067629    1270421     69      16  466965      -1.1125      0.86705
ENSG00000184163    1    1077826    1282102     68      15  468151      -1.0686      0.85737
ENSG00000160087    1    1089289    1309265     76      16  471053      -0.7413      0.77074
ENSG00000162572    1    1115816    1327409     72      13  476207     -0.39587       0.6539
ENSG00000131584    1    1127756    1344989     71      12  481077     -0.19237      0.57627
ENSG00000169972    1    1143947    1347057     63      11  482198     -0.10425      0.54152
ENSG00000127054    1    1146965    1360071     63      11  482198    -0.046785      0.51866
ENSG00000224051    1    1160136    1364277     60      10  482171      -0.1605      0.56376
ENSG00000169962    1    1166694    1370686     58      10  482152     -0.14049      0.55586
ENSG00000107404    1    1170656    1384730     58      10  482152     -0.14049      0.55586
