# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000269831    1     638532     839137      6       2  373222      0.11738   -3.4694e-15      0.11738
ENSG00000269308    1     718043     919983     28      10  427598   -0.0015136   -3.4636e-15   -0.0015136
ENSG00000187634    1     760260     979955     42      14  434720      0.43923   -3.4417e-15      0.43923
ENSG00000268179    1     761264     966445     41      13  435729      0.42498   -3.4417e-15      0.42498
ENSG00000188976    1     779584     994689     45      14  440690       0.3965   -3.4417e-15       0.3965
ENSG00000187961    1     795967    1001095     45      14  443123      0.38938   -3.4417e-15      0.38938
ENSG00000187583    1     801877    1011245     47      14  444808      0.30825   -3.4417e-15      0.30825
ENSG00000187642    1     810579    1017497     48      14  445598      0.25838   -3.4417e-15      0.25838
ENSG00000188290    1     834342    1035552     57      16  446773      0.31611   -3.4417e-15      0.31611
ENSG00000187608    1     848803    1049920     59      17  449601      0.25347   -3.4417e-15      0.25347
ENSG00000188157    1     855503    1091496     70      19  451964      0.22487   -3.4694e-15      0.22487
ENSG00000237330    1     906346    1109687     58      15  448016        0.378   -3.4417e-15        0.378
ENSG00000131591    1     917198    1151741     74      22  451489    -0.059631   -3.4625e-15    -0.059631
ENSG00000162571    1    1009264    1233315     81      22  463618     -0.60274   -3.4417e-15     -0.60274
ENSG00000186891    1    1038888    1242071     76      20  465876     -0.86886   -3.4417e-15     -0.86886
ENSG00000186827    1    1046706    1249518     75      19  467038     -0.98694   -3.4417e-15     -0.98694
ENSG00000078808    1    1052288    1267411     77      19  467513      -1.1162   -3.5527e-15      -1.1162
ENSG00000176022    1    1067629    1270421     69      16  466965      -1.3052   -3.5527e-15      -1.3052
ENSG00000184163    1    1077826    1282102     68      15  468151      -1.2663   -3.5527e-15      -1.2663
ENSG00000160087    1    1089289    1309265     76      16  471053     -0.94458   -3.4417e-15     -0.94458
ENSG00000162572    1    1115816    1327409     72      13  476207      -0.6009   -3.4417e-15      -0.6009
ENSG00000131584    1    1127756    1344989     71      12  481077     -0.40714   -3.4417e-15     -0.40714
ENSG00000169972    1    1143947    1347057     63      11  482198     -0.29409   -3.4417e-15     -0.29409
ENSG00000127054    1    1146965    1360071     63      11  482198     -0.23995   -3.4694e-15     -0.23995
ENSG00000224051    1    1160136    1364277     60      10  482171     -0.35113   -3.4417e-15     -0.35113
ENSG00000169962    1    1166694    1370686     58      10  482152     -0.34185   -3.4417e-15     -0.34185
