GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     760260     979955      3       1  153710     0.086598       0.4655
ENSG00000268179    1     761264     966445      3       1  153710     0.086598       0.4655
ENSG00000188976    1     779584     994689      4       1  154589     -0.31603      0.62401
ENSG00000187961    1     795967    1001095      4       1  154589     -0.31603      0.62401
ENSG00000187583    1     801877    1011245      4       1  154589     -0.31603      0.62401
ENSG00000187642    1     810579    1017497      4       1  154589     -0.31603      0.62401
ENSG00000188290    1     834342    1035552      7       2  154619      -1.0145      0.84484
ENSG00000187608    1     848803    1049920     10       3  154632     -0.55042      0.70898
ENSG00000188157    1     855503    1091496     14       3  154640     -0.50637       0.6937
ENSG00000237330    1     906346    1109687     14       3  154640     -0.50637       0.6937
ENSG00000131591    1     917198    1151741     15       3  155067     0.023821       0.4905
ENSG00000162571    1    1009264    1233315     29       6  158629       3.1136   0.00092407
ENSG00000186891    1    1038888    1242071     26       6  159087       3.2932   0.00049534
ENSG00000186827    1    1046706    1249518     24       6  159456       3.3547   0.00039721
ENSG00000078808    1    1052288    1267411     26       6  158780       3.4069   0.00032856
ENSG00000176022    1    1067629    1270421     24       5  159390       3.4271   0.00030505
ENSG00000184163    1    1077826    1282102     24       5  159390       3.4271   0.00030505
ENSG00000160087    1    1089289    1309265     31       6  159311       3.2262   0.00062727
ENSG00000162572    1    1115816    1327409     35       7  159373       3.0047    0.0013293
ENSG00000131584    1    1127756    1344989     37       7  159335       2.8987    0.0018733
ENSG00000169972    1    1143947    1347057     36       7  159287       2.8673    0.0020699
ENSG00000127054    1    1146965    1360071     36       7  159287       2.8673    0.0020699
ENSG00000224051    1    1160136    1364277     34       6  159183       2.7256    0.0032094
ENSG00000169962    1    1166694    1370686     30       5  159145       2.4915    0.0063609
ENSG00000107404    1    1170656    1384730     30       5  159145       2.4915    0.0063609
ENSG00000162576    1    1188069    1397157     24       4  158669       1.5471     0.060917
ENSG00000175756    1    1209110    1410875     23       4  158565       1.5072     0.065879
ENSG00000221978    1    1221091    1434708     18       2  157875       1.1078      0.13397
ENSG00000224870    1    1234902    1437426     18       2  157875       1.1078      0.13397
